Account Reference,Account Name,End Customer Reference,End Customer: End Customer Name,Account Reference,Account Name
ACC-DP-0000338,NorthwestTel,DP-EC-0000113,NorthwestTel,ACC-DP-0000338,NorthwestTel
ACC-DP-0000338,NorthwestTel,DP-EC-0000296,Diavik Diamond Mines ( Rio Tinto),ACC-DP-0000338,NorthwestTel
ACC-DP-0000338,NorthwestTel,DP-EC-0000077,Government of Nunavut,ACC-DP-0000338,NorthwestTel
ACC-DP-0000042,AST 5G Ltd,DP-EC-0000033,EnQuest,ACC-DP-0000042,AST 5G Ltd
ACC-DP-0000042,AST 5G Ltd,DP-EC-0000020,AST,ACC-DP-0000042,AST 5G Ltd
ACC-DP-0000042,AST 5G Ltd,DP-EC-0000019,TaQa,ACC-DP-0000042,AST 5G Ltd
ACC-DP-0000042,AST 5G Ltd,DP-EC-0000039,Q-00000107 EC,ACC-DP-0000042,AST 5G Ltd
ACC-DP-0000042,AST 5G Ltd,DP-EC-0000097,Greenland University,ACC-DP-0000042,AST 5G Ltd
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000082,BT - Community Broadband UK,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000080,BT - Global Services - BP Germany,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000081,BT - EE ESN UK -pre 2021,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000093,BT Test Madley,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000095,BT Test Adastral,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000094,BT Test Bristol,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000115,Gas Pipeline,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000161,BT Live,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000239,BP plc,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000242,Coast Guard,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000243,Anglo American,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000241,Enel S.p.A,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000237,Schlumberger,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000238,Royal Dutch Shell,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000240,DHL,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000136,BT Media and Broadcast - South UK,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000079,BT - Media and Broadcast - OB,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000083,TC-Energy,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000060,British Telecommunications pLc,DP-EC-0000078,BT - Enterprise UK,ACC-DP-0000060,British Telecommunications pLc
ACC-DP-0000199,SpeedCast International Limited,DP-EC-0000277,JL Cadre Yachting,ACC-DP-0000199,SpeedCast International Limited
ACC-DP-0000199,SpeedCast International Limited,DP-EC-0000275,P2P Networks,ACC-DP-0000199,SpeedCast International Limited
ACC-DP-0000199,SpeedCast International Limited,DP-EC-0000266,North Sea Rig x 4,ACC-DP-0000199,SpeedCast International Limited
ACC-DP-0000199,SpeedCast International Limited,DP-EC-0000259,North Sea fixed asset,ACC-DP-0000199,SpeedCast International Limited
ACC-DP-0000199,SpeedCast International Limited,DP-EC-0000267,SSE Renewable,ACC-DP-0000199,SpeedCast International Limited
ACC-DP-0000005,Network Innovations,DP-EC-0000229,Network Innovations,ACC-DP-0000005,Network Innovations
ACC-DP-0000005,Network Innovations,DP-EC-0000172,FCDO Services,ACC-DP-0000005,Network Innovations
ACC-DP-0000005,Network Innovations,DP-EC-0000015,Foreign Commonwealth & Development Office,ACC-DP-0000005,Network Innovations
ACC-DP-0000022,Marlink AS,DP-EC-0000268,BP,ACC-DP-0000022,Marlink AS
ACC-DP-0000022,Marlink AS,DP-EC-0000018,Chevron,ACC-DP-0000022,Marlink AS
ACC-DP-0000022,Marlink AS,DP-EC-0000278,Fugro,ACC-DP-0000022,Marlink AS
ACC-DP-0000022,Marlink AS,DP-EC-0000128,Total Energies,ACC-DP-0000022,Marlink AS
ACC-DP-0000022,Marlink AS,DP-EC-0000225,Marlink AS,ACC-DP-0000022,Marlink AS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000190,Iceland Emergency Responders,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000139,Danish DALO,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000145,Swedish MOD,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000144,Finnish MOD,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000146,German Bundeswehr,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000154,Airbus DS,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000210,UK MOD,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000212,Iceland Emergency Responders 112,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000211,French MOD,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000208,Belgian MOD,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000253,Airbus Satellite Exchange SAS,DP-EC-0000209,Dutch MOD,ACC-DP-0000253,Airbus Satellite Exchange SAS
ACC-DP-0000409,Kyndryl,DP-EC-0000112,Kyndryl,ACC-DP-0000409,Kyndryl
ACC-DP-0000409,Kyndryl,DP-EC-0000274,First Nations Health Authority,ACC-DP-0000409,Kyndryl
ACC-DP-0000409,Kyndryl,DP-EC-0000067,Cargill (Leduc PoC site 1),ACC-DP-0000409,Kyndryl
ACC-DP-0000120,Hughes (India),DP-EC-0000032,Indian Navy,ACC-DP-0000120,Hughes (India)
ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000069,Customer 38,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies
ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000021,OWT-DP1,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies
ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000065,OWT,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies
ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000075,OWT Beta Test Terminal,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies
ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000121,El Camino,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies
ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000122,L3HT,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies
ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000138,20124390,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies
ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000127,L3HT,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies
ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000163,20124467-2,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies
ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000162,20124467-1,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies
ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000197,20124475,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies
ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000245,20124483,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies
ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000063,SJA,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies
ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000064,OWT Germany Demo,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies
ACC-DP-0000276,AT&T Corp,DP-EC-0000169,AT&T - Seattle TEST Site 2022,ACC-DP-0000276,AT&T Corp
ACC-DP-0000088,Eclipse,DP-EC-0000206,ASTEL S4,ACC-DP-0000088,Eclipse
ACC-DP-0000112,Galaxy Broadband Communications Inc,DP-EC-0000273,DeBeers Gahcho Kue,ACC-DP-0000112,Galaxy Broadband Communications Inc
ACC-DP-0000112,Galaxy Broadband Communications Inc,DP-EC-0000284,BIM,ACC-DP-0000112,Galaxy Broadband Communications Inc
ACC-DP-0000112,Galaxy Broadband Communications Inc,DP-EC-0000047,Galaxy Broadband,ACC-DP-0000112,Galaxy Broadband Communications Inc
ACC-DP-0000112,Galaxy Broadband Communications Inc,DP-EC-0000179,AE Meliadine,ACC-DP-0000112,Galaxy Broadband Communications Inc
ACC-DP-0000112,Galaxy Broadband Communications Inc,DP-EC-0000180,Alamos,ACC-DP-0000112,Galaxy Broadband Communications Inc
ACC-DP-0000117,Intelsat,DP-EC-0000177,American Airlines,ACC-DP-0000117,Intelsat
ACC-DP-0000117,Intelsat,DP-EC-0000200,LATAM,ACC-DP-0000117,Intelsat
ACC-DP-0000121,Hughes Network Systems LLC,DP-EC-0000289,Hughes Network Systems,ACC-DP-0000121,Hughes Network Systems LLC
ACC-DP-0000121,Hughes Network Systems LLC,DP-EC-0000290,OneWeb for Hughes,ACC-DP-0000121,Hughes Network Systems LLC
ACC-DP-0000121,Hughes Network Systems LLC,DP-EC-0000034,N/A,ACC-DP-0000121,Hughes Network Systems LLC
ACC-DP-0000121,Hughes Network Systems LLC,DP-EC-0000133,Hughes Internal,ACC-DP-0000121,Hughes Network Systems LLC
ACC-DP-0000121,Hughes Network Systems LLC,DP-EC-0000170,Hughes India CBH,ACC-DP-0000121,Hughes Network Systems LLC
ACC-DP-0000141,Marlink Gov,DP-EC-0000042,United Nations Peacekeepers,ACC-DP-0000141,Marlink Gov
ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000114,UT Alaska Communications Internet LLC,ACC-DP-0000319,Alaska Communications Internet LLC
ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000116,ORD-80838-Z3F5Y5,ACC-DP-0000319,Alaska Communications Internet LLC
ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000101,ACS Test,ACC-DP-0000319,Alaska Communications Internet LLC
ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000040,Test EC for NS and IC,ACC-DP-0000319,Alaska Communications Internet LLC
ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000043,ORD-81074-J2M2B2,ACC-DP-0000319,Alaska Communications Internet LLC
ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000041,ORD-80613-T9C8Y4,ACC-DP-0000319,Alaska Communications Internet LLC
ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000124,ORD-84582-X4W0Y5,ACC-DP-0000319,Alaska Communications Internet LLC
ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000123,ORD-84394-B2Q4C5,ACC-DP-0000319,Alaska Communications Internet LLC
ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000135,moved to individual Opps,ACC-DP-0000319,Alaska Communications Internet LLC
ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000285,ORD-105027-L5Y1D,ACC-DP-0000319,Alaska Communications Internet LLC
ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000288,ORD-83543-B5M4G2,ACC-DP-0000319,Alaska Communications Internet LLC
ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000286,ORD-104185-Z7F9R3,ACC-DP-0000319,Alaska Communications Internet LLC
ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000287,ORD-104187-W2B8M4,ACC-DP-0000319,Alaska Communications Internet LLC
ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000086,ORD-80834-J7G6C7,ACC-DP-0000319,Alaska Communications Internet LLC
ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000087,ORD-80836-X1H6X7,ACC-DP-0000319,Alaska Communications Internet LLC
ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000071,NNK,ACC-DP-0000341,Pacific Dataport Inc
ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000118,Anchorage,ACC-DP-0000341,Pacific Dataport Inc
ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000073,ERA,ACC-DP-0000341,Pacific Dataport Inc
ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000072,SIX,ACC-DP-0000341,Pacific Dataport Inc
ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000074,RSE,ACC-DP-0000341,Pacific Dataport Inc
ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000117,NET,ACC-DP-0000341,Pacific Dataport Inc
ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000132,Split into different opps,ACC-DP-0000341,Pacific Dataport Inc
ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000165,ATB.1,ACC-DP-0000341,Pacific Dataport Inc
ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000014,PDI EC Test,ACC-DP-0000341,Pacific Dataport Inc
ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000056,ASTA,ACC-DP-0000341,Pacific Dataport Inc
ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000054,PDI.1,ACC-DP-0000341,Pacific Dataport Inc
ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000066,Akiak,ACC-DP-0000341,Pacific Dataport Inc
ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000055,ATO,ACC-DP-0000341,Pacific Dataport Inc
ACC-DP-0000355,United TV,DP-EC-0000171,United TV,ACC-DP-0000355,United TV
ACC-DP-0000356,Verizon,DP-EC-0000134,Verizon internal,ACC-DP-0000356,Verizon
ACC-DP-0000368,Excelerate,DP-EC-0000203,UK Emergency Responders,ACC-DP-0000368,Excelerate
ACC-DP-0000173,Panasonic Avionics Corp - DP,DP-EC-0000010,Qantas,ACC-DP-0000173,Panasonic Avionics Corp - DP
ACC-DP-0000173,Panasonic Avionics Corp - DP,DP-EC-0000035,LOT Polish Airlines,ACC-DP-0000173,Panasonic Avionics Corp - DP
ACC-DP-0000173,Panasonic Avionics Corp - DP,DP-EC-0000103,Hawaiian Airlines,ACC-DP-0000173,Panasonic Avionics Corp - DP
ACC-DP-0000173,Panasonic Avionics Corp - DP,DP-EC-0000102,American Airlines,ACC-DP-0000173,Panasonic Avionics Corp - DP
ACC-DP-0000173,Panasonic Avionics Corp - DP,DP-EC-0000104,LATAM,ACC-DP-0000173,Panasonic Avionics Corp - DP
ACC-DP-0000173,Panasonic Avionics Corp - DP,DP-EC-0000017,Delta Airlines,ACC-DP-0000173,Panasonic Avionics Corp - DP
ACC-DP-0000173,Panasonic Avionics Corp - DP,DP-EC-0000016,Air New Zealand,ACC-DP-0000173,Panasonic Avionics Corp - DP
ACC-DP-0000173,Panasonic Avionics Corp - DP,DP-EC-0000186,Emirates Airline,ACC-DP-0000173,Panasonic Avionics Corp - DP
ACC-DP-0000173,Panasonic Avionics Corp - DP,DP-EC-0000100,United Airlines,ACC-DP-0000173,Panasonic Avionics Corp - DP
ACC-DP-0000210,Tusass,DP-EC-0000282,Nikkeli,ACC-DP-0000210,Tusass
ACC-DP-0000210,Tusass,DP-EC-0000202,Greenfield,ACC-DP-0000210,Tusass
ACC-DP-0000210,Tusass,DP-EC-0000201,UT Tusass,ACC-DP-0000210,Tusass
ACC-DP-0000213,Telespazio France,DP-EC-0000160,French MOD,ACC-DP-0000213,Telespazio France
ACC-DP-0000213,Telespazio France,DP-EC-0000129,French Guiana,ACC-DP-0000213,Telespazio France
ACC-DP-0000213,Telespazio France,DP-EC-0000141,Lithuanian MOD,ACC-DP-0000213,Telespazio France
ACC-DP-0000213,Telespazio France,DP-EC-0000143,Hannover Police,ACC-DP-0000213,Telespazio France
ACC-DP-0000213,Telespazio France,DP-EC-0000142,French Fire Brigade,ACC-DP-0000213,Telespazio France
ACC-DP-0000213,Telespazio France,DP-EC-0000196,French Government Institution,ACC-DP-0000213,Telespazio France
ACC-DP-0000213,Telespazio France,DP-EC-0000205,European Maritime Safety Agency,ACC-DP-0000213,Telespazio France
ACC-DP-0000213,Telespazio France,DP-EC-0000204,French Home Office,ACC-DP-0000213,Telespazio France
ACC-DP-0000213,Telespazio France,DP-EC-0000213,Telespazio France,ACC-DP-0000213,Telespazio France
ACC-DP-0000213,Telespazio France,DP-EC-0000207,UK MoD welfare services,ACC-DP-0000213,Telespazio France
ACC-DP-0000213,Telespazio France,DP-EC-0000281,Belgian MOD,ACC-DP-0000213,Telespazio France
ACC-DP-0000213,Telespazio France,DP-EC-0000168,Telespazio,ACC-DP-0000213,Telespazio France
ACC-DP-0000312,ROCK Networks,DP-EC-0000189,Ahcor Ltd,ACC-DP-0000312,ROCK Networks
ACC-DP-0000312,ROCK Networks,DP-EC-0000247,Labrador Natuashish,ACC-DP-0000312,ROCK Networks
ACC-DP-0000312,ROCK Networks,DP-EC-0000062,Rock Networks,ACC-DP-0000312,ROCK Networks
ACC-DP-0000312,ROCK Networks,DP-EC-0000246,Canadian DND CANSOFCOM,ACC-DP-0000312,ROCK Networks
ACC-DP-0000312,ROCK Networks,DP-EC-0000061,DND IM Gp,ACC-DP-0000312,ROCK Networks
ACC-DP-0000312,ROCK Networks,DP-EC-0000090,Air Inuit Ltd.,ACC-DP-0000312,ROCK Networks
ACC-DP-0000312,ROCK Networks,DP-EC-0000091,PALairlines,ACC-DP-0000312,ROCK Networks
ACC-DP-0000312,ROCK Networks,DP-EC-0000092,Big Link Networks,ACC-DP-0000312,ROCK Networks
ACC-DP-0000312,ROCK Networks,DP-EC-0000088,MDA Ltd.,ACC-DP-0000312,ROCK Networks
ACC-DP-0000312,ROCK Networks,DP-EC-0000089,Makivik Corporation,ACC-DP-0000312,ROCK Networks
ACC-DP-0000312,ROCK Networks,DP-EC-0000222,CCG MCTS,ACC-DP-0000312,ROCK Networks
ACC-DP-0000312,ROCK Networks,DP-EC-0000236,Marine Atlantic Inc.,ACC-DP-0000312,ROCK Networks
ACC-DP-0000312,ROCK Networks,DP-EC-0000248,Tŝilhqot'in (Chilcotin) FN,ACC-DP-0000312,ROCK Networks
ACC-DP-0000312,ROCK Networks,DP-EC-0000216,Canadian Coast Guard,ACC-DP-0000312,ROCK Networks
ACC-DP-0000312,ROCK Networks,DP-EC-0000068,Rock Networks Demo site,ACC-DP-0000312,ROCK Networks
ACC-DP-0000317,SAMI,DP-EC-0000175,Saudi Armed Forces,ACC-DP-0000317,SAMI
ACC-DP-0000317,SAMI,DP-EC-0000174,KSA,ACC-DP-0000317,SAMI
ACC-DP-0000385,PVT,DP-EC-0000131,n/a 2,ACC-DP-0000385,PVT
ACC-DP-0000386,VTX1,DP-EC-0000130,N/A 1,ACC-DP-0000386,VTX1
ACC-DP-0000405,SITA,DP-EC-0000111,Middle East Airlines,ACC-DP-0000405,SITA
