IMSI,Source,DP Name,CustomerReference,CustomerName,EndCustomerReference,EndCustomerName,MbpsRate,IMEI,SiteTypeFlag,Site Type,SiteType-SubCategory,PricingPlanName,Downlink,Uplink,GeoLocation,SiteReference,SiteName,CustomerActiveStatus,SiteAddress,MRC,MaximumServiceDuration,ActualActivationDate,TimeLapse,CoS,TotalBandwidth,AFDown,AFUp,EFDown,EFUp,BEDown,BEUp,Mar Total Usage,Down,Up
901600000000876,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000072,SIX,360,351554110020543,External,Trial UT Plan,Trial UT Plan,Trial PDI-IPC 75/15/UPD,75,15,"57.1855, -170.254",OAL-000084,SNP1-SIX,InActive,"St Paul IslandAlaska, , 99660, US",40500.00,60,1900-Jan-00,44725,Silver,120,15.0,3.0,6.0,6.0,10.0,2.0,"4,312",100,20
901600000001299,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000066,Akiak,360,351554110001584,External,Trial UT Plan,Trial UT Plan,Trial PDI-IPC 75/15/UPD,75,15,"60.912144, -161.213931",OAL-000080,AKIUS1 Beta,InActive,"ATB Akiak, AK, , 99552, US",40500.00,60,2021-Dec-10,185,Palladium,90,22.5,4.5,9.0,9.0,75.0,15.0,"10,778",75,15
901600000000901,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000117,NET,360,35155411002055,External,Trial UT Plan,Trial UT Plan,Trial PDI-IPC 75/15/UPD,75,15,"52.7235, -174.1126",OAL-000102,SYA1-NET,InActive,", Shemya, Alaska, Alaska, ",40500.00,60,2022-Jan-22,142,Palladium,90,22.5,4.5,9.0,9.0,75.0,15.0,"4,074",75,15
901600000001381,PerformanceHub,TrustComm dba OneWeb Technologies,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000021,OWT-DP1,400,35155411000065,External,Trial UT Plan,Trial UT Plan,IP Access 50/10,,,NotAvailable,,HNS-T2,InActive,,24000.00,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,894,,
901600000001330,PerformanceHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000014,PDI EC Test,360,,External,Trial UT Plan,Trial UT Plan,IP Access 50/10,,,NotAvailable,,ANCUS2,InActive,,3429.00,60,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,73,,
901600000000076,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000118,Anchorage,360,351554110000990,External,Trial UT Plan,Trial UT Plan,Trial PDI-IPC 20/4/UPD,20,4,"61.173, -147.884",OAL-000103,ANCUS1 Beta,InActive,", Anchorage, 99518, US",10800.00,60,2022-Jan-14,150,Palladium,24,6.0,1.2,2.4,2.4,20.0,4.0,995,20,4
901600000001318,PerformanceHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,Not Available,Not Available,360,,External,Trial UT Plan,Trial UT Plan,Not Available,,,NotAvailable,,DUTUS1 - New,InActive,,8850.00,60,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,144,,
901600000001232,AccountHub,Alaska Communications Internet LLC,ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000123,ORD-84394-B2Q4C5,360,351554110003903,External,Trial UT Plan,Trial UT Plan,TRIAL Classic 50/10/UG,50,10,"53.878332, -166.539919",OAL-000147,Unalaska 35706645,InActive,"551 Broadway Ave, Unalaska, AK, 99685, US",5900.00,,2022-Feb-25,108,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,0,50,10
901600000001248,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000014,PDI EC Test,360,351554110001642,External,Trial UT Plan,Trial UT Plan,Trial PDI-IPC 75/15/UPD,75,15,"61.173, -149.8849",OAL-000073,ANC,InActive,", Anchorage, Alaska 99518, US",40500.00,60,2021-Dec-10,185,Palladium,90,22.5,4.5,9.0,9.0,75.0,15.0,"2,557",75,15
901600000000890,PerformanceHub,TrustComm dba OneWeb Technologies,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,Not Available,Not Available,400,,External,Trial UT Plan,Trial UT Plan,Not Available,,,NotAvailable,,HNS-T1,InActive,,,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,,
901600000000149,AccountHub,OneWeb,ACC-DP-0000647,OneWeb UT - Alaska,DP-EC-0000256,OneWeb,270,351554110001550,Internal,Internal,OW Reference UT Plan,Entry 75/15/500B,75,15,"0, 0",OAL-000174,OneWeb Akiak 2,InActive,", Akiak, 99552, US",,,2022-Mar-07,98,Bronze,90,0,0,0,0,0,0,"6,414",75,15
901600000000098,PerformanceHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,Not Available,Not Available,360,,External,Trial UT Plan,Trial UT Plan,Not Available,,,NotAvailable,,ANCUS3,InActive,,8850.00,60,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,37,,
901600000001399,AccountHub,OneWeb,ACC-DP-0000546,OneWeb UT,DP-EC-0000045,OneWeb,0,351554110001741,Internal,Internal,Internal,Entry 75/15/500B,75,15,"61.19493828919867, -149.88562057184865",OAL-000151,OneWeb Office - Anchorage,InActive,"188 W. Northern Lights Blvd, Anchorage, 99503, US",,,2022-Feb-24,109,Bronze,90,0,0,0,0,0,0,391,75,15
901600000000945,AccountHub,AST 5G Ltd,ACC-DP-0000042,AST 5G Ltd,DP-EC-0000020,AST,700,351554110010544,External,Trial UT Plan,Trial UT Plan,TRIAL AST5G OCEAN CREW 100/20/3000B,100,20,"52.634825, 1.202711",OAL-000136,Bawburgh Test Terminal 1,InActive,"Lodge Farm BarnsNew Road, Bawburgh, Norfolk, NR9 3LZ, GB",,90,2022-Feb-10,123,Bronze,120,0,0,0,0,0,0,66,100,20
901600000001293,AccountHub,AST 5G Ltd,ACC-DP-0000042,AST 5G Ltd,DP-EC-0000039,Q-00000107 EC,700,351554110000602,External,DP Demo UT Plan,DP Demo UT Plan,Trial AST5G-ENT 125/25/500B,125,25,"52.59215, 1.71228",OAL-000064,AST Ref UT - GY Roof,InActive,"Satellite House, Bessemer Way, Great Yarmouth, Norfolk, NR31 0LX, ",,ContractTerm,2021-Dec-18,177,Bronze,150,0,0,0,0,0,0,892,125,25
901600000001099,AccountHub,OneWeb,ACC-DP-0000548,OneWeb Golden UT,DP-EC-0000044,One Web,0,351554110003598,Internal,Internal,OW Reference UT Plan,Classic 30/6/UG,30,6,"64.2021, -51.6446",OAL-000128,Nuuk,InActive,"Nuuk Transport ASQasapi 2, Nuuk, 3900, GL",,,2022-Feb-24,109,Gold,36,6.0,1.2,2.7,2.7,6.0,1.2,0,30,6
901600000000289,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110000131,Internal,Internal,Internal,Classic 50/10/UG,50,10,"60.143757, 10.807188",OAL-000145,Oslo,InActive,"Myraveien 1, Hakadal, 1488, NO",,,2022-Feb-23,110,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,524,50,10
901600000001274,PerformanceHub,Alaska Communications Internet LLC,ACC-DP-0000319,Alaska Communications Internet LLC,Not Available,Not Available,360,,External,Trial UT Plan,Trial UT Plan,Not Available,,,NotAvailable,,City of Bethel,InActive,,5900.00,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8,,
901600000000330,PerformanceHub,OneWeb,ACC-DP-0000546,OneWeb UT,DP-EC-0000045,OneWeb,0,,Internal,Internal,Internal,IP Access 50/10,,,NotAvailable,,LFFUS3,InActive,,,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,418,,
901600000000302,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110000107,Internal,Internal,Internal,Classic 50/10/UG,50,10,"45.814598, 15.947915",OAL-000143,Croatia,InActive,"Antunovac 12, Zagreb, 10110, HR",,,2022-Feb-24,109,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,186,50,10
901600000000921,PerformanceHub,Alaska Communications Internet LLC,ACC-DP-0000319,Alaska Communications Internet LLC,Not Available,Not Available,360,,External,Trial UT Plan,Trial UT Plan,Not Available,,,NotAvailable,,BBTC - King Salmon,InActive,,2950.00,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,435,,
901600000000250,AccountHub,OneWeb,ACC-DP-0000548,OneWeb Golden UT,DP-EC-0000044,One Web,0,351554110000016,Internal,Internal,OW Reference UT Plan,Classic 30/6/UG,30,6,"51.511, -.2248",OAL-000122,London,InActive,"The WestWorks, 195 Wood Lane, London, W12 7FQ, GB",,,2022-Feb-24,109,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,62,,
901600000000208,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110000024,Internal,Internal,Internal,Classic 50/10/UG,50,10,"45.814598, 15.947915",OAL-000144,Croatia,InActive,"Antunovac 12, Zagreb, 10110, HR",,,2022-Feb-23,110,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,332,50,10
901600000001327,AccountHub,British Telecommunications pLc,ACC-DP-0000546,OneWeb UT,DP-EC-0000255,BT GS,243,351554110001915,External,Trial UT Plan,Decommissioned,Trial Entry 75/15/500B,75,15,"52.06007055265902, 1.280551696734517",OAL-000168,BT Adastral,InActive,"Martlesham Heath, Martlesham, Ipswich, Ipswich, IP5 3RY, GB",,,2022-Mar-04,101,Bronze,90,0,0,0,0,0,0,0,75,15
901600000000304,AccountHub,OneWeb,ACC-DP-0000548,OneWeb Golden UT,DP-EC-0000044,One Web,0,351554110000362,Internal,Internal,OW Reference UT Plan,Classic 30/6/UG,30,6,"51.8439877, -.9712927",OAL-000123,Westcott,InActive,"Old Control TowerBurnham Road, Westcott, HP18 0PH, GB",,,2022-Feb-24,109,Gold,36,6.0,1.2,2.7,2.7,6.0,1.2,185,30,6
901600000001244,PerformanceHub,Alaska Communications Internet LLC,ACC-DP-0000319,Alaska Communications Internet LLC,Not Available,Not Available,360,,External,Trial UT Plan,Trial UT Plan,Not Available,,,NotAvailable,,Crooked Creek,InActive,,5900.00,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,169,,
901600000001282,AccountHub,Northwestel,ACC-DP-0000546,OneWeb UT,DP-EC-0000250,NorthwesTel - Iqaluit 2,270,351554110000867,External,Trial UT Plan,Trial UT Plan,TRIAL Classic 75/15/UG,75,15,"63.74558096188353, -68.51418401",OAL-000164,Iqaluit 2,InActive,"Iqaluit Central Office, 183 Queen Elizabeth Rd, Iqaluit, NU, Iqaluit, X0A 0H0, CA",5400.00,,2022-Mar-03,102,Gold,90,15.0,3.0,6.8,6.8,15.0,3.0,0,75,15
901600000000179,AccountHub,OneWeb,ACC-DP-0000548,OneWeb Golden UT,DP-EC-0000044,One Web,0,351554110001006,Internal,Internal,OW Reference UT Plan,Classic 75/15/UG,75,15,"62.332325, -150.032578",OAL-000114,Talkeetna,InActive,"Bartlett Earth StationSouth Comsat Road, Talkeetna, 99676, US",,,2022-Jan-14,150,Gold,90,15.0,3.0,6.8,6.8,15.0,3.0,540,75,15
901600000001085,AccountHub,OneWeb,ACC-DP-0000548,OneWeb Golden UT,DP-EC-0000044,One Web,0,351554110003200,Internal,Internal,OW Reference UT Plan,Classic 30/6/UG,30,6,"41.4515, -73.28938",OAL-000127,Southbury,InActive,"2120 River Road, Southbury, CT 06488, US",,,2022-Feb-24,109,Gold,36,6.0,1.2,2.7,2.7,6.0,1.2,34,30,6
901600000001356,AccountHub,Northwestel,ACC-DP-0000546,OneWeb UT,DP-EC-0000249,NorthwesTel - Iqaluit 1,270,351554110000727,External,Trial UT Plan,Trial UT Plan,TRIAL Classic 75/15/UG,75,15,"63.74558096188353, -68.51418401",OAL-000163,Iqaluit 1,InActive,"Iqaluit Central Office, 183 Queen Elizabeth Rd, Iqaluit, NU, Iqaluit, X0A 0H0, CA",5400.00,,2022-Mar-03,102,Gold,90,15.0,3.0,6.8,6.8,15.0,3.0,0,75,15
901600000000357,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110000206,Internal,Internal,Internal,Classic 50/10/UG,50,10,"41.4515, -73.28938",OAL-000169,Southbury,InActive,"2120 River Road, Southbury, CT 06488, US",,,2022-Mar-04,101,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,0,50,10
901600000000319,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110000040,Internal,Internal,Internal,Classic 50/10/UG,50,10,"59.211735, 18.083748",OAL-000157,Stockholm,InActive,"Agesta, SSC Stockholm, Teleport, Vidjavagen,, , 23 52 Vidja, SE",,,2022-Feb-24,109,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,60,50,10
901600000000202,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110000081,Internal,Internal,Internal,Classic 50/10/UG,50,10,"37.913334, 13.36133",OAL-000141,Palermo,InActive,"Telespazio, SP5, Piana degli Albanesi PA, 90037 Palermo, IT",,,2022-Feb-24,109,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,729,50,10
901600000000331,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351602004120646,Internal,Internal,Internal,Classic 50/10/UG,50,10,"37.913334, 13.36133",OAL-000140,Palermo,InActive,"Telespazio, SP5, Piana degli Albanesi PA, 90037 Palermo, IT",,,2022-Feb-24,109,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,"1,166",50,10
901600000000301,AccountHub,OneWeb,ACC-DP-0000548,OneWeb Golden UT,DP-EC-0000044,One Web,0,351554110000164,Internal,Internal,OW Reference UT Plan,Classic 30/6/UG,30,6,"62.332325, -150.032578",OAL-000126,Talkeetna,InActive,"Bartlett Earth StationSouth Comsat Road, Talkeetna, 99676, US",,,2022-Feb-24,109,Gold,36,6.0,1.2,2.7,2.7,6.0,1.2,828,30,6
901600000000279,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110000057,Internal,Internal,Internal,Classic 50/10/UG,50,10,"59.211735, 18.083748",OAL-000156,Stockholm,InActive,"Agesta, SSC Stockholm, Teleport, Vidjavagen,, , 23 52 Vidja, SE",,,2022-Feb-24,109,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,0,50,10
901600000000181,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110000958,Internal,Internal,Internal,Classic 50/10/UG,50,10,"26.747926, -81.049149",OAL-000161,Clewiston,InActive,"400 Air Glades Blvd, Clewiston, Florida, 33440, US",,,2022-Mar-10,95,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,0,50,10
901600000000207,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110000065,Internal,Internal,Internal,Classic 50/10/UG,50,10,"37.913334, 13.36133",OAL-000138,Palermo,InActive,"Telespazio, SP5, Piana degli Albanesi PA, 90037 Palermo, IT",,,2022-Feb-24,109,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,220,50,10
901600000000875,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000165,ATB.1,360,351554110006211,External,Trial UT Plan,Trial UT Plan,TRIAL Classic 75/15/UG,75,15,"60.796242, -161.791428",OAL-000178,Bethel,InActive,", Bethel, , US",8850.00,60,2022-Mar-16,89,Gold,90,15.0,3.0,6.8,6.8,15.0,3.0,0,75,15
901600000000198,AccountHub,OneWeb,ACC-DP-0000546,OneWeb UT,DP-EC-0000045,OneWeb,0,351554110000248,Internal,Internal,Internal,Entry 75/15/500B,75,15,"51.8439877, -.9712927",OAL-000179,Westcott,InActive,"Old Control TowerBurnham Road, Westcott, HP18 0PH, GB",,,2022-Mar-16,89,Bronze,90,0,0,0,0,0,0,0,75,15
901600000000146,AccountHub,Norway Defence,ACC-DP-0000546,OneWeb UT,DP-EC-0000140,Norway defence,947,351554110002715,External,Trial UT Plan,Trial UT Plan,Classic 50/10/UG,50,10,"59.9752, 11.04",OAL-000116,Oslo - Norway Defence,InActive,"Gunnar Randers vei 19, Kjeller, Postboks 25, 2027, NO",,,2022-Jan-26,138,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,82,50,10
901600000001333,Not Available,OneWeb,Not Available,Not Available,Not Available,Not Available,270,,Internal,Internal,Internal,Not Available,,,NotAvailable,,Not Available,InActive,,,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,228,,
901600000000056,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000074,RSE,360,351554110001626,External,Trial UT Plan,Trial UT Plan,Trial PDI-IPC 75/15/UPD,75,15,"60.199, -154.309",OAL-000086,ANK,InActive,"Port AlsworthAlaska, , 99653, US",40500.00,60,2021-Dec-23,172,Palladium,90,22.5,4.5,9.0,9.0,75.0,15.0,198,75,15
901600000000046,PerformanceHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000014,PDI EC Test,360,,External,Trial UT Plan,Trial UT Plan,IP Access 50/10,,,NotAvailable,,BETUS2,InActive,,3429.00,60,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,,
901600000000214,PerformanceHub,OneWeb,Not Available,Not Available,Not Available,Not Available,0,,Internal,Internal,Internal,Not Available,,,NotAvailable,,CLEUS2,InActive,,,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14,,
901600000000793,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110006138,Internal,Internal,Internal,Classic 50/10/UG,50,10,"78.228455, 15.395594",OAL-000158,Svalbard,InActive,"Svalbard Satellite Station, Svalbard, Norway, , , NO",,,2022-Feb-24,109,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,288,50,10
901600000001146,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110003853,Internal,Internal,Internal,Classic 50/10/UG,50,10,"78.228455, 15.395594",OAL-000159,Svalbard,InActive,"Svalbard Satellite Station, Svalbard, Norway, , , NO",,,2022-Feb-24,109,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,133,50,10
901600000000203,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110000073,Internal,Internal,Internal,Classic 50/10/UG,50,10,"37.913334, 13.36133",OAL-000137,Palermo,InActive,"Telespazio, SP5, Piana degli Albanesi PA, 90037 Palermo, IT",,,2022-Feb-24,109,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,171,50,10
901600000001004,PerformanceHub,OneWeb,ACC-DP-0000546,OneWeb UT,DP-EC-0000045,OneWeb,0,,Internal,Internal,Internal,IP Access 50/10,,,NotAvailable,,LFFUS5,InActive,,,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,84,,
901600000001275,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000056,ASTA,360,351554110001501,External,Trial UT Plan,Trial UT Plan,Trial PDI-IPC 75/15/UPD,75,15,"61.181536, -149.884992",OAL-000075,ANC,InActive,", Anchorage, Alaska 99518, US",40500.00,60,2021-Dec-21,174,Palladium,90,22.5,4.5,9.0,9.0,75.0,15.0,206,75,15
901600000001336,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000073,ERA,360,351554110000479,External,Trial UT Plan,Trial UT Plan,Trial PDI-IPC 75/15/UPD,75,15,"53.896, -166.5416",OAL-000085,DUT1-ERA,InActive,"Dutch HarborAlaska, , 99692, US",40500.00,60,2021-Dec-13,182,Palladium,90,22.5,4.5,9.0,9.0,75.0,15.0,"5,516",75,15
901600000000151,AccountHub,Alaska Communications Internet LLC,ACC-DP-0000319,Alaska Communications Internet LLC,DP-EC-0000101,ACS Test,360,351554110001451,External,Trial UT Plan,Trial UT Plan,TRIAL AC Classic 50/10/UG,50,10,"61.186108, -149.870407",OAL-000101,Anchorage Demo,InActive,"Communications Avenue, Anchorage, 99599, ",5900.00,,2022-Feb-09,124,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,507,50,10
901600000000916,AccountHub,AST 5G Ltd,ACC-DP-0000042,AST 5G Ltd,DP-EC-0000020,AST,700,351554110010551,External,Trial UT Plan,Trial UT Plan,TRIAL AST5G OCEAN 75/15/2500S,75,15,"52.634825, 1.202711",OAL-000195,Bawburgh Test Terminal 2,InActive,"Lodge Farm Barns, New Road, Bawburgh,, Norwich, NR93LZ, GB",,90,2022-Mar-24,81,Silver,90,11.3,2.3,4.5,4.5,7.5,1.5,245,75,15
901600000001143,AccountHub,OneWeb,ACC-DP-0000549,OneWeb UT - Hughes,DP-EC-0000046,OneWeb,270,351554110006120,Internal,Internal,Internal,Classic 50/10/UG,50,10,"78.228455, 15.395594",OAL-000160,Svalbard,InActive,"Svalbard Satellite Station, Svalbard, Norway, , , NO",,,2022-Feb-24,109,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,21,50,10
901600000001292,AccountHub,TrustComm dba OneWeb Technologies,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000197,20124475,400,351554110001030,External,Trial UT Plan,Trial UT Plan,TRIAL Classic 50/10/UG,50,10,"71.47, -148.37",OAL-000146,Prudhoe,InActive,", Prudhoe, , US",,,2022-Feb-17,116,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,22,50,10
901609999990111,Not Available,OneWeb,Not Available,Not Available,Not Available,Test,0,,Internal,Internal,Internal,Not Available,Not Available,Not Available,NotAvailable,Not Available,Not Available,InActive,,0.00,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,,
901600000000236,AccountHub,OneWeb,ACC-DP-0000546,OneWeb UT,DP-EC-0000045,OneWeb,0,351554110000149,Internal,Internal,Internal,Entry 75/15/500B,75,15,"51.511, -.2248",OAL-000177,London,InActive,"195 Wood Lane, London, W12 7FQ, GB",,,2022-Mar-14,91,Bronze,90,0,0,0,0,0,0,42,75,15
901609999991001,Not Available,OneWeb,Not Available,Not Available,Not Available,Test,0,,Internal,Internal,Internal,Not Available,Not Available,Not Available,NotAvailable,Not Available,Not Available,InActive,,0.00,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,,
901600000001120,AccountHub,OneWeb,ACC-DP-0000546,OneWeb UT,DP-EC-0000045,OneWeb,0,351554110003911,Internal,Internal,Internal,Entry 75/15/500B,75,15,"61.19493828919867, -149.88562057184865",OAL-000173,OneWeb Office - Anchorage,InActive,"188 W. Northern Lights Blvd, Anchorage, 99503, US",,,2022-Mar-08,97,Bronze,90,0,0,0,0,0,0,0,75,15
901600000001311,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000071,NNK,360,351554110000966,External,Trial UT Plan,Trial UT Plan,Trial PDI-IPC 75/15/UPD,75,15,"58.746, -156.957",OAL-000083,CCH-NNK,InActive,", Naknek, AK, 99633, US",40500.00,60,2021-Dec-21,174,Palladium,90,22.5,4.5,9.0,9.0,75.0,15.0,75,75,15
901600000000080,AccountHub,TrustComm dba OneWeb Technologies,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000064,OWT Germany Demo,400,351554110002004,External,Trial UT Plan,Trial UT Plan,Trial IPC 75/15/UPD,75,15,"48.6819, 9.1996",OAL-000077,Stuttgart,InActive,", Stuttgrat, 70376, DE",,,2021-Dec-21,174,Palladium,90,22.5,4.5,9.0,9.0,75.0,15.0,0,75,15
901600000000081,AccountHub,British Telecommunications pLc,ACC-DP-0000546,OneWeb UT,DP-EC-0000230,BT M&B,243,351554110002319,External,Trial UT Plan,Trial UT Plan,Trial Entry 75/15/500B,75,15,"52.032, -2.841",OAL-000152,BT - Madley Satellite Communications Centre,InActive,"Stoney Street, Madley, Hereford, Madley, HR2 9NH, GB",,,2022-Feb-24,109,Bronze,90,0,0,0,0,0,0,2,75,15
901600000000140,AccountHub,Rock Networks,ACC-DP-0000312,ROCK Networks,DP-EC-0000068,Rock Networks Demo site,300,351554110000701,External,DP Demo UT Plan,DP Demo UT Plan,Trial RN-GW 25/5/UG,25,5,"45.38231, -75.61783",OAL-000082,Rock Networks HQ,InActive,"1009 Thomas Spratt PL, Ottawa, K1G 5L5, CA",,,2021-Dec-30,165,Gold,30,5.0,1.0,2.3,2.3,5.0,1.0,0,25,5
901600000000262,PerformanceHub,OneWeb,ACC-DP-0000546,OneWeb UT,DP-EC-0000045,OneWeb,0,,Internal,Internal,Internal,IP Access 50/10,,,NotAvailable,,"LFFUS4 - Demo UT, Lake Forest",InActive,,,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9,,
901600000001396,AccountHub,TrustComm dba OneWeb Technologies,ACC-DP-0000225,TrustComm d/b/a OneWeb Technologies,DP-EC-0000063,SJA,400,351554110001139,External,Trial UT Plan,Trial UT Plan,Trial IPC 75/15/UPD,75,15,"48.6819, 9.1996",OAL-000088,SJA Germany,InActive,", Stuttgart, , DE",,,2021-Dec-15,180,Palladium,90,22.5,4.5,9.0,9.0,75.0,15.0,19,75,15
905563348889-te,Not Available,OneWeb,Not Available,Not Available,Not Available,Test,0,,Internal,Internal,Internal,Not Available,Not Available,Not Available,NotAvailable,Not Available,Not Available,InActive,,0.00,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,,
8095445348889-t,Not Available,OneWeb,Not Available,Not Available,Not Available,Test,0,,Internal,Internal,Internal,Not Available,Not Available,Not Available,NotAvailable,Not Available,Not Available,InActive,,0.00,,,,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,,
901600000000127,AccountHub,Pacific Dataport Inc,ACC-DP-0000341,Pacific Dataport Inc,DP-EC-0000074,RSE,360,351554110001055,External,Trial UT Plan,Trial UT Plan,Trial PDI-IPC 75/15/UPD,75,15,"62.855782, -152.62072",OAL-000087,TLF,InActive,", Mystic Lake, AK, 99757, US",40500.00,60,2021-Dec-16,179,Palladium,90,22.5,4.5,9.0,9.0,75.0,15.0,56,75,15
901600000001351,AccountHub,Softbank Corp,ACC-DP-0000546,OneWeb UT,DP-EC-0000215,Softbank Komatsu,250,351554110001972,External,Trial UT Plan,Trial UT Plan,Classic 75/15/UG,75,15,"54.8938, -1.5809",OAL-000139,Softbank - Komatsu UK Durham,InActive,"Durham RoadBirtleyChester-le-Street, Durham, DH3 2QX, GB",,,2022-Feb-21,112,Gold,90,15.0,3.0,6.8,6.8,15.0,3.0,28,75,15
901600000001255,AccountHub,Shared Services Canada,ACC-DP-0000546,OneWeb UT,DP-EC-0000279,Shared Services Canada - Department of National Defence,404,351554110001691,External,Trial UT Plan,Trial UT Plan,TRIAL Classic 50/10/UG,50,10,"45.345228, -75.885469",OAL-000186,Department of National Defence,InActive,"Building T85A, 3701 Carling Ave, Ottawa, K2K 2Y7, CA",,,2022-Mar-16,89,Gold,60,10.0,2.0,4.5,4.5,10.0,2.0,0,50,10
